case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,next_action,provenance_hash
trv_2025_q4,TRV,"The Travelers Companies, Inc.",vendor,transcript,licensed-vendor://blocked/TRV/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:4c687b4c647abbb8beeb022a6a482a97981ad1ea503138665a2748f749866885
cb_2025_q4,CB,Chubb Limited,youtube,video,https://www.youtube.com/results?search_query=CB+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:1496cdbf04064143623205f00e16e9b93a72a0c2155cd459beb945534af7239c
cb_2025_q4,CB,Chubb Limited,vendor,transcript,licensed-vendor://blocked/CB/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:5fd1a6be15e04cbeb01e8ac1e75c7adad3ba5e129e1fc9a9c9588eed01271500
jnj_2025_q4,JNJ,Johnson & Johnson,youtube,video,https://www.youtube.com/results?search_query=JNJ+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:babd93c888fd243f3d789a77813d8dcdbb8e28001dabd77896fb102942b1e320
jnj_2025_q4,JNJ,Johnson & Johnson,vendor,transcript,licensed-vendor://blocked/JNJ/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:15c6fab9b081fa5b591b9d26afb630813bc9c2ea1eca353bc170ceeaeea47c70
lly_2025_q4,LLY,Eli Lilly and Company,youtube,video,https://www.youtube.com/results?search_query=LLY+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:ca4d71bf77b11b0de2fe9a180fd256bebf791d53b7eb63677e5347bd6ab15f54
lly_2025_q4,LLY,Eli Lilly and Company,vendor,transcript,licensed-vendor://blocked/LLY/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:365cc088634fe0dec7dc3951c9ed8ceb97f5437c45846b07bd64a23c709ee170
mrk_2025_q4,MRK,"Merck & Co., Inc.",youtube,video,https://www.youtube.com/results?search_query=MRK+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:252e0c596775ed8d3ed18cb1b598ed81ff0998818dbfbb5a4ec10c804e1393db
mrk_2025_q4,MRK,"Merck & Co., Inc.",vendor,transcript,licensed-vendor://blocked/MRK/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:a2a74b280743c459e3f86895b4bad12ed2636de555a17b15a1c80ad8e48f2ee1
pfe_2025_q4,PFE,Pfizer Inc.,youtube,video,https://www.youtube.com/results?search_query=PFE+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:dd2814cc33836fb8a52ddc2efe5a0381c9a548f6e007bf545e21d14a036826e2
