segment_id,case_id,audio_asset_id,start_time_sec,end_time_sec,speaker,text_sha256,raw_text_committed
vz_2024_q4_00088,vz_2024_q4,vz_2024_q4_audio,541.36,548.08,,sha256:d7b5204c055aea76886c64ad8e4ac29f7bd1302eacd0f9351cbdc72725f6a8d7,false
vz_2024_q4_00089,vz_2024_q4,vz_2024_q4_audio,548.08,554.64,,sha256:2db21101da587c9de2885b792f3fc398ad7cf7ca6c1ec2b53ce927d49de7ac9b,false
vz_2024_q4_00090,vz_2024_q4,vz_2024_q4_audio,554.64,560.48,,sha256:a88872a5ba4d27ed0f691cc11178af2bbebd58882c24bf923e52d8d8a43871a2,false
vz_2024_q4_00091,vz_2024_q4,vz_2024_q4_audio,560.48,567.52,,sha256:7b31ef069e3079ad4e73ed8f2d5a3d1b1c388e89724132d1b5e9fac5b07be302,false
vz_2024_q4_00092,vz_2024_q4,vz_2024_q4_audio,567.52,572.56,,sha256:cd8a59dfee2e7b003977aa1f36e07fce51c636d8de23be0f05f8e7f0277dd1ca,false
vz_2024_q4_00093,vz_2024_q4,vz_2024_q4_audio,572.56,579.04,,sha256:b9b0f29821461e450530e213f8dc59b318b9b4d09faae434cd26dd451f70927a,false
vz_2024_q4_00094,vz_2024_q4,vz_2024_q4_audio,579.04,585.6,,sha256:64296a3eb2654be9a1ff077a6eabfea21ea93c9eb2e227fe096f4e3d33aae1e8,false
vz_2024_q4_00095,vz_2024_q4,vz_2024_q4_audio,585.6,590.64,,sha256:84798f6a3d07ab83df027eda38cad509dfec8499df86af967bbe22f788ef4656,false
vz_2024_q4_00096,vz_2024_q4,vz_2024_q4_audio,590.96,596.24,,sha256:30f648d72b021660dfe08cf88172f94b81c55c156655790f3b8d4c76c0aeacd7,false
vz_2024_q4_00097,vz_2024_q4,vz_2024_q4_audio,597.12,602.72,,sha256:d75fde75f5eb1463825b972adc22acf6e8bc34b220c53aec68937380b48b28c6,false
vz_2024_q4_00098,vz_2024_q4,vz_2024_q4_audio,602.72,608.4,,sha256:a8e47513a5b9b832883cc23af495e1d51dc5c3292c12859d78443e9e733cb426,false
vz_2024_q4_00099,vz_2024_q4,vz_2024_q4_audio,609.36,615.6,,sha256:4f94e1fa7ac53c36eaca4d2e8e1bdb8eb0607bae8fc650d9c6080941f6c863c0,false
vz_2024_q4_00100,vz_2024_q4,vz_2024_q4_audio,615.6,621.6,,sha256:245af9ccbedd71bde71f60a247c5124e632044d9f19c59abfa8f52afe71644a0,false
vz_2024_q4_00101,vz_2024_q4,vz_2024_q4_audio,621.6800000000001,628.5600000000001,,sha256:e766d366c510bb3918d736f4e339ec5d47e32066d0d04bef7f9f218c2b3bfdf9,false
vz_2024_q4_00102,vz_2024_q4,vz_2024_q4_audio,628.5600000000001,634.08,,sha256:0a134bb668591139a4d4f2073ea7ea25c19bab5669f035c212e5224c8c9cbbda,false
vz_2024_q4_00103,vz_2024_q4,vz_2024_q4_audio,634.08,640.4,,sha256:d93c36fdcf08eeebc60a0fa25408038110a9378c3e0fb8079d28bcd6da534a6d,false
vz_2024_q4_00104,vz_2024_q4,vz_2024_q4_audio,640.4,646.96,,sha256:eae1d3fbd2355abe9bdbf54b5a865b875f7b22b97c5bd93bde147d3aa90f1ce6,false
vz_2024_q4_00105,vz_2024_q4,vz_2024_q4_audio,646.96,653.0400000000001,,sha256:99ff77896d7c304a8fcbb35bdae18c3e3aa5454bb798686efba1a8992570a028,false
vz_2024_q4_00106,vz_2024_q4,vz_2024_q4_audio,653.0400000000001,658.08,,sha256:0792bf710de1fe24839124cea015df4b6b4bdda1e7135f023e9a82ec3ba2f154,false
